Garvis Monitoring Intelligence - 3-Year Illustrative Financial Model,,,,
"ALL FIGURES ILLUSTRATIVE - replace assumptions with primary research before use",,,,
,,,,
ASSUMPTIONS,,,,
Metric,Value,Unit,Notes,
Avg sensors per building,12,sensors,Blended across small/large structures,
Hardware price per sensor,300,USD,One-time (or amortized if leased),
Install / setup per building,2000,USD,One-time professional services,
SaaS price per building / month,600,USD,Blended Professional tier,
SaaS price per building / year,7200,USD,= monthly x 12,
Annual logo churn,5,%,Applied to prior-year active base,
SaaS gross margin,80,%,COGS = 20%,
Hardware gross margin,35,%,COGS = 65%,
Services gross margin,40,%,COGS = 60%,
,,,,
BUILDINGS UNDER MONITORING,Year 1,Year 2,Year 3,
New buildings added,30,150,300,
Beginning active buildings,0,30,178,
Churned buildings (5% of beginning),0,2,9,
Ending active buildings,30,178,469,
Average active during year,15,104,323,
,,,,
REVENUE (USD),Year 1,Year 2,Year 3,
Recurring SaaS revenue,108000,748800,2325600,
Hardware revenue,108000,540000,1080000,
Services / install revenue,60000,300000,600000,
Total revenue,276000,1588800,4005600,
,,,,
COST OF GOODS SOLD (USD),Year 1,Year 2,Year 3,
SaaS COGS (20%),21600,149760,465120,
Hardware COGS (65%),70200,351000,702000,
Services COGS (60%),36000,180000,360000,
Total COGS,127800,680760,1527120,
,,,,
GROSS PROFIT,Year 1,Year 2,Year 3,
Gross profit,148200,908040,2478480,
Gross margin %,54%,57%,62%,
,,,,
OPERATING EXPENSES (USD),Year 1,Year 2,Year 3,
Sales & Marketing,600000,1200000,1800000,
Research & Development,500000,800000,1100000,
General & Administrative,300000,500000,700000,
Total operating expenses,1400000,2500000,3600000,
,,,,
PROFITABILITY (USD),Year 1,Year 2,Year 3,
EBITDA,-1251800,-1591960,-1121520,
EBITDA margin %,-454%,-100%,-28%,
,,,,
KEY METRICS,Year 1,Year 2,Year 3,
Exit ARR (ending active x 7200),216000,1281600,3376800,
ARR growth %,,493%,164%,
Revenue per active building (avg),18400,15277,12401,
